107.25,11.664,4,6,6
105.36,23.191,4,6,6
102.235,34.447,4,6,6
97.911,45.299,4,6,6
92.44,55.619,4,6,6
85.884,65.288,4,6,6
78.322,74.191,4,6,6
69.841,82.224,4,6,6
60.542,89.293,4,6,6
50.533,95.315,4,6,6
39.931,100.22,4,6,6
28.862,103.95,4,6,6
17.453,106.461,4,6,6
5.841,107.724,4,6,6
-5.841,107.724,4,6,6
-17.453,106.461,4,6,6
-28.862,103.95,4,6,6
-39.931,100.22,4,6,6
-50.533,95.315,4,6,6
-60.542,89.293,4,6,6
-69.841,82.224,4,6,6
-78.322,74.191,4,6,6
-85.884,65.288,4,6,6
-92.44,55.619,4,6,6
-97.911,45.299,4,6,6
-102.235,34.447,4,6,6
-105.36,23.191,4,6,6
-107.25,11.664,4,6,6
-107.882,0,4,6,6
-107.25,-11.664,4,6,6
-105.36,-23.191,4,6,6
-102.235,-34.447,4,6,6
-97.911,-45.299,4,6,6
-92.44,-55.619,4,6,6
-85.884,-65.288,4,6,6
-78.322,-74.191,4,6,6
-69.841,-82.224,4,6,6
-60.542,-89.293,4,6,6
-50.533,-95.315,4,6,6
-39.931,-100.22,4,6,6
-28.862,-103.95,4,6,6
-17.453,-106.461,4,6,6
-5.841,-107.724,4,6,6
5.841,-107.724,4,6,6
17.453,-106.461,4,6,6
28.862,-103.95,4,6,6
39.931,-100.22,4,6,6
50.533,-95.315,4,6,6
60.542,-89.293,4,6,6
69.841,-82.224,4,6,6
78.322,-74.191,4,6,6
85.884,-65.288,4,6,6
92.44,-55.619,4,6,6
97.911,-45.299,4,6,6
102.235,-34.447,4,6,6
105.36,-23.191,4,6,6
107.25,-11.664,4,6,6
107.882,0,4,6,6
121.217,6.05,4,6,6
120.012,18.089,4,6,6
117.615,29.948,4,6,6
114.048,41.51,4,6,6
109.348,52.659,4,6,6
103.562,63.285,4,6,6
96.746,73.282,4,6,6
88.969,82.551,4,6,6
80.307,90.999,4,6,6
70.848,98.543,4,6,6
60.684,105.107,4,6,6
49.917,110.627,4,6,6
38.654,115.048,4,6,6
27.007,118.325,4,6,6
15.091,120.426,4,6,6
3.026,121.33,4,6,6
-9.07,121.028,4,6,6
-21.075,119.524,4,6,6
-32.871,116.831,4,6,6
-44.341,112.978,4,6,6
-55.369,108.002,4,6,6
-65.848,101.952,4,6,6
-75.671,94.889,4,6,6
-84.743,86.883,4,6,6
-92.973,78.014,4,6,6
-100.279,68.369,4,6,6
-106.588,58.045,4,6,6
-111.837,47.143,4,6,6
-115.976,35.774,4,6,6
-118.961,24.049,4,6,6
-120.764,12.084,4,6,6
-121.368,0,4,6,6
-120.764,-12.084,4,6,6
-118.961,-24.049,4,6,6
-115.976,-35.774,4,6,6
-111.837,-47.143,4,6,6
-106.588,-58.045,4,6,6
-100.279,-68.369,4,6,6
-92.973,-78.014,4,6,6
-84.743,-86.883,4,6,6
-75.671,-94.889,4,6,6
